dTLB-loads,time,branch-load-misses,L1-dcache-load-misses,cpu-used,p
1871702086,0.299,31096724,37441173,1.548,0.46
2412823337,1.414,44245234,48498045,1.055,1.05
2401971942,0.899,42894653,49397206,1.273,1.05
2464803297,0.639,44219567,56821123,1.498,1.05
2839522319,0.543,47706762,50819750,1.833,1.05
2891263272,0.489,47890835,53920057,1.93,1.05
4881439736,4.027,88094575,61798419,0.977,3.04
5204877175,2.609,88104511,69514372,1.424,3.04
5297819866,1.802,97601455,66667719,1.849,3.04
5595736813,1.414,100685848,70115857,2.266,3.04
6145582257,1.276,98404181,72399994,2.851,3.04
2726469977,0.829,38037859,46902510,1.36,0.73
2071125441,0.521,33146059,46900244,1.209,0.73
2053172735,0.421,35523141,47815700,1.279,0.73
2623076508,0.443,46875034,46613430,1.566,0.73
2276802405,0.418,41560091,46177790,1.363,0.73
2159291394,0.328,39766249,44636537,1.39,0.73
2140327511,0.395,41195270,47425501,1.386,0.73
2648149429,0.3,34916326,51291135,1.643,0.73
2254337744,0.385,46434234,41467809,1.49,0.73
2154901828,0.311,38797415,46602214,1.411,0.73
2240274050,0.299,25868648,56364966,1.445,0.73
2608899972,0.382,48029180,54337029,1.574,0.73
2213676234,0.374,35454804,50669194,1.48,0.73
2498449309,0.313,41342013,53368385,1.497,0.73
2502415421,0.315,42560371,54003835,1.584,0.73
2614216983,0.315,43255943,51864685,1.593,0.73
5652570605,3.286,121466306,64701730,0.988,2.74
5661746515,1.8,100440159,65786553,1.42,2.74
5491660755,1.388,91437911,68039556,1.63,2.74
5710796332,1.233,106132916,69670032,1.76,2.74
5502638593,0.963,97481854,62320890,1.842,2.74
5546468088,1.049,103936427,73739440,1.835,2.74
5668828480,0.879,88629555,76375016,1.957,2.74
5635908727,1.018,106002210,76007345,1.894,2.74
5898766131,0.844,93003216,71733799,2.029,2.74
5700261615,0.861,88224836,71219464,2.032,2.74
6200071238,0.829,92509659,75939378,2.165,2.74
5921599326,0.842,100717316,76482392,2.057,2.74
5862158745,0.89,94155117,84689239,2.063,2.74
5937849620,0.853,94425086,68463361,2.157,2.74
5939856609,0.982,109751062,70126786,2.097,2.74
5569008699,0.841,84673352,74051835,2.068,2.74
18603740727,10.985,289718773,123139803,1.001,10.24
18938374648,5.984,297048056,127753390,1.641,10.24
18697900399,4.493,286313530,133333129,2.174,10.24
18986817402,3.373,299540973,131956153,2.471,10.24
19060587540,2.918,282798274,142116226,2.761,10.24
18627677013,2.52,286764370,143387113,2.941,10.24
18760668386,2.805,316306449,155582373,2.897,10.24
18878310604,2.644,317996179,147445016,3.036,10.24
18890132015,2.305,286690396,136806765,3.13,10.24
18535197917,2.286,277151720,143254833,3.139,10.24
18434606535,2.548,301579410,163411078,3.118,10.24
