LLC_loads,page_faults,Input Size,cpu_migrations,LLC_load_misses,cache_references,cycles,instructions,bus_cycles,ref_cycles,LLC_store_misses_percent,minor_faults,cpu_clock,branch_misses,branches_instructions,time,user_time,sys_time
12066825,155526,2,9,4722093,68397603,5303872424,10645503070,248859223,5515490660,16.90918725337343,155526,2740.21,20354842,1626716846,1.351,1.968,0.221
3483561,70128,2,14,35727,15077545,603562807,773365971,32638021,713326749,0.9165330902551292,70128,549.33,3753149,171133877,0.002,0.002,0.0
12578792,163112,2,5,2905088,74346524,5332466070,10065235481,253334433,5639018168,20.53551456032997,163111,2813.16,21861082,1642232989,0.956,2.042,0.227
3740864,69209,2,10,193549,12170227,526063288,623072892,33996845,799885018,0.5392967437176533,69209,542.96,3735968,156658774,0.002,0.002,0.0
3510271,69852,2,6,95575,13779177,595483850,706909563,28478065,689830953,1.0925471505130864,69852,541.47,3458083,159230523,0.002,0.0,0.002
3860250,69552,2,3,28946,13169826,564452872,648031603,30129756,732058780,1.6494270598562313,69552,540.93,3211842,153978847,0.002,0.0,0.002
15058366,176879,2,21,4520186,55735925,5875343413,12145751670,290336925,6418582991,10.330125884990906,176875,3170.82,28210337,1798999544,0.827,2.358,0.269
3344408,69821,2,8,21914,15718599,634582787,787325475,28411798,663391746,1.509572577949463,69821,543.75,3469902,169883065,0.002,0.002,0.0
3650616,69788,2,12,50059,15181296,659873576,741609570,30753756,727016307,1.7317150224559843,69788,548.36,3188830,150444628,0.002,0.002,0.0
3705376,69793,2,11,236897,12851124,509234023,649479927,33516262,752697264,0.5656794923393911,69793,542.03,3779785,156636202,0.003,0.003,0.0
3826821,69448,2,7,43252,13262557,599347236,709866641,34271244,802874462,1.9428384097276037,69448,544.34,3654877,163073254,0.002,0.0,0.002
3999078,69525,2,5,202311,11850266,495288830,624907818,33896788,785990643,0.607403384534822,69525,540.84,3702982,157070326,0.002,0.002,0.0
3612558,68827,2,4,121316,14027537,605699649,705334159,28556614,672789449,0.980172614882202,68827,539.6,3442121,155012225,0.002,0.002,0.0
3594392,69899,2,10,67890,13145765,522983703,645346146,34720293,772298890,1.50562595505384,69899,548.75,3838031,165053031,0.002,0.002,0.0
15657031,189069,2,28,3876657,65527777,6892557437,12785895172,333075053,7317652108,14.959451128893836,189057,3654.12,29040799,1851814332,0.831,2.815,0.305
5708404,82232,0,16,148211,27031797,1954471414,2690536490,86461167,1938606863,2.0084198428924203,82232,1132.04,18893474,540127771,0.585,0.565,0.02
6538962,82079,0,10,108578,23256911,1776742726,2591056914,91626072,1925427434,1.4258404356674188,82079,1132.78,17620610,520902119,0.341,0.557,0.04
5904245,82186,0,17,238937,24655962,1691568934,2341425689,92351340,2108738742,3.1804326047528426,82186,1141.73,19829433,532819338,0.259,0.558,0.049
6419314,83238,0,15,327700,22800984,1631356891,2462216055,92162944,2100975056,1.5182220111408922,83237,1154.15,18863019,553549534,0.219,0.585,0.032
5912963,82692,0,15,328204,28744532,1794346267,2459512909,89810896,2079629494,3.332521537788506,82691,1179.07,21369240,540320293,0.198,0.602,0.041
6829940,84412,0,15,233741,25639162,1841427348,2738424537,93021461,2105911338,3.407696432142784,84409,1187.12,18093217,546096423,0.181,0.575,0.07
6375342,84147,0,13,241243,27142383,1933244161,2608657810,99673236,2106406832,5.649127639628753,84144,1244.19,17549485,561151651,0.178,0.663,0.04
6526829,84657,0,14,157264,26937035,1821410387,2416535654,97994424,2183225691,1.8406535772036487,84655,1217.49,18078432,522362142,0.162,0.621,0.055
6055137,84990,0,15,249766,25890700,2073596523,2839461082,88660886,2068838886,7.024537760294127,84990,1233.61,15299071,488114364,0.157,0.632,0.065
6667358,84778,0,14,406709,23576973,1641389612,2782367068,105080450,2444457024,1.2771551939797068,84778,1324.4,20123384,514127288,0.162,0.732,0.052
5466011,86171,0,15,173132,25906981,1827789494,2676916481,101194105,2279216129,4.42970999794505,86168,1341.71,20000287,527605683,0.163,0.772,0.031
5875920,86191,0,26,448511,27921008,1842356609,2747590461,110148048,2457894225,2.4944824826495866,86187,1331.26,23471737,522952239,0.166,0.777,0.016
6197826,86634,0,15,125067,28078884,2248860211,2400236549,94549004,2182965469,1.6020435307360172,86634,1355.19,12664483,487587171,0.161,0.76,0.059
6394678,86721,0,26,365645,25433488,1834367269,2970413129,112852947,2548818570,1.3888208923430774,86719,1375.43,24280797,570860614,0.156,0.808,0.031
5732578,88068,0,20,333695,31280730,2061490633,2957332172,108172109,2369532008,2.9166290495746727,88056,1364.24,24417685,578494930,0.151,0.795,0.026
6998971,88178,0,20,158874,21268797,1666377944,2293262285,117222433,2671464246,5.832769722182535,88178,1421.83,25877364,597039214,0.152,0.827,0.056
10262444,92136,1,12,670170,41956408,5160434905,9122318704,240743633,5282801464,3.974229627628313,92136,2641.8,51758608,1545909550,2.099,2.041,0.056
9389522,93201,1,16,566267,41801324,5137761494,9001406283,242261615,5255793971,3.591490150056717,93201,2655.93,51405794,1554316754,1.134,2.01,0.092
8657961,93965,1,7,683512,45727113,5208482742,9166340638,237891505,5190222762,1.448803059328979,93965,2662.4,52206997,1585368666,0.812,2.024,0.088
10471869,94129,1,14,574566,41028227,5061956776,8946881598,241253923,5416196418,3.565263242540638,94129,2689.51,51802877,1525555485,0.657,2.097,0.04
10174307,94795,1,16,698459,39477120,5177935753,9210675990,243823989,5401560665,6.2446115230727175,94795,2713.3,51029305,1540155000,0.564,2.084,0.075
9769348,95915,1,21,526430,43659933,5241028783,8913271291,248191880,5303446179,5.277779550482737,95915,2740.13,51904786,1503011646,0.522,2.073,0.108
9985862,95182,1,14,342268,42685116,5274880810,8679160773,243207951,5433976457,4.427738487563859,95179,2750.92,50651837,1557125239,0.503,2.096,0.1
10083421,96440,1,8,879165,39497259,4989388935,9148230801,248706090,5563812450,2.033735265789225,96440,2768.61,50103320,1502914886,0.487,2.131,0.084
9920275,95952,1,19,509567,43609637,5616053614,8919211396,254380045,5540148019,5.327422589094664,95949,2886.41,48798758,1488954071,0.483,2.257,0.073
9977886,96455,1,23,373761,42967751,5449468330,8980377926,253891425,5510335609,5.588448404367688,96449,2825.5,52391174,1684373142,0.471,2.189,0.085
10831562,97114,1,31,760921,36658914,5016141769,9046440750,260890263,5779002863,4.549939845741871,97111,2856.91,55773935,1661598396,0.467,2.235,0.067
9816388,97883,1,18,458571,43699276,5248990774,8550083265,254589464,5712140684,8.191945976418372,97883,2874.14,55811476,1550716226,0.465,2.197,0.122
10469019,98370,1,20,399769,42942892,5537301778,8734959467,274413941,6123745915,8.40299940689694,98368,3027.34,55500972,1580449271,0.47,2.356,0.121
11827488,98422,1,24,849913,35160747,5247562517,8530279521,276397513,6109649343,2.326758676861964,98422,3001.94,52478853,1475741695,0.464,2.382,0.068
12270450,98211,1,30,817900,35916088,5325747484,8507871063,267282231,5923670696,3.401372902137844,98199,2951.87,50893066,1486275012,0.456,2.349,0.051
8946367,99648,1,21,668169,44679692,5327353007,9051911580,252768001,5736926853,9.074564059974277,99646,2963.97,51997606,1526360534,0.454,2.362,0.05
18513259,113731,2,22,1403786,68012969,15737433142,32757452865,728740780,16101036724,3.853763107109714,113731,7528.13,139069907,5039250693,6.96,6.824,0.128
19484504,124328,2,13,1789893,71162013,16525672202,33109793127,762867459,16803002125,5.311395436555245,124328,7859.6,141332780,5061444348,3.802,7.16,0.124
19698384,121996,2,14,1531027,69379889,16120053820,33138841161,736996298,16317736994,7.724852880275774,121996,7665.14,142546214,5027905465,2.575,6.949,0.14
18998229,122905,2,22,2005576,68864323,16074690755,32795951029,748949532,16518755399,6.1432845360029535,122904,7725.98,143459036,5129449938,2.03,6.972,0.179
21242901,124793,2,31,2230591,76509277,16659823579,32655346820,766128411,16833958811,12.046561715871103,124791,7953.63,140523875,5181508351,1.733,7.224,0.145
19715684,121738,2,23,1630177,66988611,16229630742,33056997335,745042025,16493306856,3.902434841514498,121736,7766.03,137821565,5133754417,1.477,7.032,0.161
17057184,121543,2,10,1679195,70016675,16118900384,32736478650,752558333,16567274587,7.501286592965584,121540,7791.77,144356774,5131707520,1.404,7.072,0.144
18511499,122030,2,24,1799203,70854910,16338546558,33482215235,756855208,16619230444,5.551333866045132,122027,7871.04,141479004,5169037239,1.394,7.111,0.187
17552366,117401,2,23,1561254,70554416,15971029417,32554490476,749323839,16552854990,3.831467522442645,117399,7766.69,143030098,5205175608,1.286,7.037,0.158
19741660,117465,2,17,1329427,71596508,16338174507,32985110131,758811233,16517618735,5.228565293534769,117460,7849.4,141220332,5092070664,1.28,7.123,0.156
19252541,118570,2,31,1332201,67456260,16334301917,32733563957,756105733,16745466204,3.422425160845064,118569,7931.27,138462439,5169979865,1.295,7.217,0.137
19017887,118797,2,22,1435945,67598369,16367561340,32627074667,770290552,16945247150,3.750026067682498,118793,8004.09,143524963,5155433228,1.258,7.263,0.171
18029459,119262,2,30,1400242,76311973,16243603097,32721722584,761446448,16764010670,9.092054499613797,119262,7925.28,134993742,4997831400,1.268,7.15,0.199
19200763,119381,2,22,1572852,70027304,16168971626,33044830368,758062318,16625553199,4.086927274058103,119370,7910.87,138038090,4969145042,1.254,7.109,0.232
19141327,119829,2,37,1244734,71344560,16284099543,32460272079,764163879,16804142205,8.370133618314144,119829,7928.62,146851136,5179538267,1.245,7.194,0.164
18535484,121376,2,39,1209381,75370468,16655582237,33250938271,773882682,17019805906,5.857982890893298,121374,8070.11,135281486,5016988214,1.234,7.359,0.138
14119073,68823,0,5,44146,31154202,1081867704,1557874353,50514549,1142119760,1.3845205375770089,68823,761.73,4535021,261651437,0.243,0.239,0.004
14840197,70120,0,4,54198,29366223,1046497099,1425979631,60029163,1390443562,0.5468467121057278,70120,820.21,4531885,252792625,0.152,0.298,0.0
13578911,69822,0,5,42771,25497825,977535642,1394086145,59017353,1429933520,0.7153320217211623,69822,845.29,4367992,254272725,0.111,0.319,0.004
13469975,69240,0,9,327616,35031546,1658981450,2109022973,74762918,1670470403,8.511999733600804,69239,1049.31,5587540,367377996,0.14,0.495,0.04
13731079,68798,0,3,71063,33021413,1732692931,2227227255,94338167,2121744918,0.5716354568590517,68796,1175.35,5423602,410091700,0.142,0.594,0.076
15375965,69138,0,11,969491,41497560,3509555847,3565523422,159205806,3509919911,14.472255205835063,69136,1917.57,6512830,663174843,0.257,1.234,0.214
14497696,68876,0,5,56116,40322595,3316398139,3686792391,148650631,3385542664,0.8178062174880546,68872,1844.09,6425740,689047189,0.21,1.159,0.217
15646835,69132,0,17,668312,43610971,4377892594,4334076967,205068058,4551178684,9.679656115020991,69130,2357.02,7353833,838823464,0.256,1.616,0.297
16370691,69527,0,11,609251,41124877,5012323911,4609273781,241996266,5437805424,9.107761692435169,69522,2737.04,7990136,928208331,0.274,1.869,0.442
15776506,69174,0,11,48166,45581460,4905740031,4730388165,230415141,5195315209,0.571803176421856,69167,2661.36,7601403,905867907,0.242,1.776,0.474
15290831,69249,0,17,650796,47958001,7219457430,5829156395,339865843,7248884959,9.495185650623984,69242,3710.94,9054009,1169038780,0.326,2.867,0.476
16236731,68530,0,33,597420,56373273,7237285729,5773394701,342212021,7502827443,6.515474619915679,68521,3758.35,9989952,1195031711,0.306,2.662,0.749
16666875,69207,0,43,1427879,50329316,9285911233,6868538707,438600731,9560438427,17.38267874552042,69201,4732.36,11366829,1485545438,0.364,3.475,0.933
19662822,69520,0,39,990756,56758238,11384748112,7465853204,523251043,11631505702,8.181941978019163,69508,5659.17,10407306,1459956277,0.411,4.366,1.018
24579301,69346,0,146,2250861,63479273,17572812405,8908208695,817668980,18036082463,19.433980930865964,69346,8617.61,13789830,1866853047,0.615,6.555,1.956
23274427,69560,0,55,1016869,54534169,14240023044,8109792310,691471541,15329189323,10.26059805575773,69546,7266.85,12735055,1756219558,0.471,5.68,1.382
50911542,68995,1,7,58794,106412209,2642620421,4350759450,132397587,2911954122,1.1527649147819008,68995,1527.6,6864540,448134818,1.012,1.008,0.004
50976791,70563,1,5,74135,107104707,2695521761,4355027324,131646989,2968622779,0.8035755829798208,70563,1554.0,6494518,431659926,0.522,1.033,0.0
52367863,69671,1,8,42101,113499831,2927617619,4620760716,142206747,2982229491,0.4462983711109196,69671,1642.88,7151304,472052108,0.383,1.118,0.008
57935334,70188,1,12,35414,111148561,3088705380,4375368506,148197550,3331331442,0.8513254825494023,70187,1765.01,6365996,474730803,0.321,1.241,0.004
55497981,69960,1,5,62133,111849854,3321051042,4754661974,158010645,3612597594,0.8289676162491093,69958,1900.94,5499691,488288158,0.288,1.357,0.028
58494506,69556,1,20,102505,126883813,4190353626,5842275127,205819044,4560004293,1.1293092907121745,69553,2305.75,7964540,766287282,0.318,1.699,0.109
58195928,69638,1,9,908162,135041382,6183242951,7575194239,285669589,6077313282,8.775301112585487,69634,3154.26,8653692,1098020839,0.406,2.477,0.214
62760782,69591,1,8,85360,129625811,5813157621,7077579215,288597127,6401357343,0.3658696713168385,69586,3137.24,9818291,1059117881,0.366,2.314,0.382
65094520,69958,1,20,1302202,144592173,8456982930,8406957432,398107372,8611201095,13.233990680029576,69951,4288.97,11185678,1317460074,0.465,3.441,0.466
64601723,69457,1,18,2086326,141837280,9002613318,8826762347,435451722,9644581210,17.8591585205824,69451,4630.29,10564404,1402165125,0.453,3.683,0.556
65607990,69707,1,20,59057,139004998,7861497337,8379368400,385398366,8580801898,0.3591189781105105,69699,4141.47,11175611,1330535371,0.369,3.113,0.653
65359992,70606,1,35,1128480,145139206,11619534715,10321978882,552602398,12273303426,11.090065132005982,70605,5861.59,10454090,1709287825,0.492,4.755,0.77
67636105,69074,1,30,160860,159049914,10922754411,10298866860,526508549,11705690903,1.1789673768312727,69067,5637.35,11806527,1764020627,0.442,4.605,0.733
71692993,69669,1,58,1562300,163209939,15150425650,11319586916,715218454,15712864914,10.305624836435287,69659,7504.24,13444553,1952092944,0.557,6.035,1.24
66020446,69947,1,72,2110669,157711631,18248940460,12972745227,837891735,18337253035,16.736793449053444,69945,8878.44,13599209,2240220242,0.618,6.947,1.714
68713022,69773,1,59,124376,149860420,15168514130,12387918867,722325921,15995082140,0.3400775979901509,69760,7617.6,12913288,2183767590,0.5,6.088,1.325
138171159,75587,2,8,51430,443637606,11454453275,17978522264,529074172,11694906266,0.7915253770230869,75587,5529.78,8298126,925594350,5.015,5.005,0.008
144775733,73397,2,13,554523,446801929,11720768259,18268067378,543749231,12015529154,1.0777881099237043,73397,5663.17,8899533,1004045946,2.593,5.124,0.012
146886757,73775,2,7,63373,469433106,12128602028,18542584546,560083214,12326991442,0.3648311231562576,73774,5847.66,10045403,1033804964,1.804,5.31,0.02
148009221,74090,2,4,381393,478400354,12498047130,18796708256,568002827,12582900063,1.4465685021320591,74089,6016.16,8679503,1054906775,1.402,5.431,0.068
151436379,74170,2,7,55545,478869746,12883786667,19064127239,596289014,13158108489,0.4099234726514552,74168,6223.37,9362532,1189141006,1.174,5.633,0.08
156084029,72887,2,10,122986,482477535,13720555489,19999621875,643289571,14210807293,0.3158281157564636,72884,6695.59,9787667,1415844864,1.075,6.059,0.143
156390659,73157,2,16,1707105,492703013,16045192839,21829419853,736262936,16098903551,6.257035862453826,73152,7674.55,10582197,1782314990,1.077,6.935,0.276
157986025,73249,2,26,2504919,488232944,18150323458,23279307119,834139188,18474751759,12.69905509524783,73243,8720.21,12319482,2068548731,1.096,7.939,0.381
157610842,71247,2,7,78764,486659256,16308406942,22203207275,756969243,16746896050,0.4031915340464066,71241,7932.64,12914069,1964206578,0.877,7.096,0.406
160292352,71197,2,18,95322,506259163,17525924241,22952877462,818854075,18037807734,0.351827872893874,71190,8518.92,11794667,2075207607,0.863,7.638,0.471
161054226,72035,2,34,2697256,497962302,21388858307,24832641995,1000628139,22129992127,11.976492761960207,72029,10383.45,14040602,2468788843,0.966,9.296,0.736
173166774,71981,2,72,2351431,502117141,24918233522,27880698607,1140392085,24974094424,13.45213195829787,71972,11828.51,15705222,3028584914,1.024,10.361,1.177
168770646,71189,2,53,3001762,512534252,24021226863,26873335631,1113467679,24528071042,10.46398203512534,71189,11526.97,15500691,2858188373,0.922,10.183,1.06
203719316,71897,2,78,2113687,507474407,29652216270,30649787143,1363898723,30028042668,7.322659440073793,71896,14067.02,15743165,3617272621,1.057,12.325,1.545
200644259,73237,2,142,3095865,501916910,33300047419,30902773093,1544099101,33975440075,14.130333908095514,73226,15900.35,18310634,3830189548,1.123,13.9,1.863
213130567,71389,2,86,2101921,505967819,34104376803,30900714030,1561313677,34339984013,10.202222963837846,71377,16140.05,17367773,3734730384,1.07,14.001,2.021
4380651,69937,0,9,106459,16088045,1173095373,1955304635,56548827,1325817637,0.9839148514515156,69937,813.68,6123480,347708964,0.293,0.293,0.0
4901855,69910,0,3,62113,13069563,1024681547,1840049043,62281102,1432811504,0.5857824386159909,69910,812.06,6452511,350743753,0.147,0.29,0.0
4849934,68575,0,13,63609,15724202,1181565681,1853015709,65778075,1401234861,1.3729649593544062,68575,842.83,6829727,365566245,0.112,0.316,0.008
3409256,69650,0,8,24589,20058367,1138726589,1872850321,52665815,1216037321,0.9868349698685976,69650,809.81,6115243,299353864,0.076,0.293,0.0
4803905,69272,0,3,53133,14076331,1105446697,1949141078,64557818,1498381511,0.6516976716194712,69272,883.32,6006991,348005509,0.077,0.348,0.02
3777523,69294,0,7,42318,19447835,1319657687,1998833726,61146612,1107731950,1.0018664124396377,69294,854.47,6590763,381012723,0.059,0.329,0.008
5023539,69263,0,10,166108,13015741,894830991,1702989370,67797150,1609341539,0.6775079244197518,69263,919.57,5913232,335507594,0.061,0.379,0.02
4402076,69649,0,9,156852,16377882,1009045760,1743247770,72533321,1694099698,8.50492952069418,69649,987.02,6478268,350619610,0.064,0.444,0.027
4883482,70031,0,11,337562,16982392,1695333949,2570819383,74467671,1539840972,3.34078871123941,70027,1068.21,7384472,441125479,0.067,0.502,0.051
3931557,70018,0,5,432740,20120275,1280700457,2114765142,58549541,1381116286,2.6608171617216603,70014,933.28,5785633,331149249,0.045,0.41,0.0
5476410,69670,0,11,56055,19681314,1253434543,1591199302,80144239,1802850915,12.8367413011272,69667,988.58,6880571,348594976,0.047,0.425,0.05
6094955,69611,0,12,94722,15783142,1156540420,1692103380,80858259,1831601887,5.857086725532332,69604,1003.28,6446148,322990081,0.045,0.469,0.016
5944832,69698,0,16,108765,16028405,1240418955,1696988858,86247195,1919623221,7.642106973424798,69691,1050.58,6615659,319550277,0.047,0.463,0.073
4629887,68713,0,23,336129,20461673,2255209623,3028973572,110665740,1830544221,6.017106113948505,68713,1333.35,8830851,566568862,0.066,0.695,0.128
6123892,69430,0,14,187665,12591624,1138509409,2161306594,86506765,1983848889,0.6126203482449352,69423,1095.86,5607392,338749962,0.045,0.505,0.073
