benchmarks,input-size,threads,branch-instructions,branch-misses,cache-misses,cache-misses-percent,cache-references,cpu-cycles,instructions,instructions_per_cycle,idle-cycles-backend,idle-cycles-backend-percent,idle-cycles-frontend,idle-cycles-frontend-percent,context-switches,cpu-clock,cpu-used,cpu-migrations,major-faults,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-load-misses-percent,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-prefetches,L1-icache-load-misses,L1-icache-load-misses-percent,L1-icache-loads,L1-icache-prefetches,LLC-load-misses,LLC-load-misses-percent,LLC-loads,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-load-misses-percent,dTLB-loads,iTLB-load-misses,iTLB-load-misses-percent,iTLB-loads,time,user-time,sys-time,Speedup
0,1,7,588057008,17702827,14159527,15.614,90687107,5160137145,3384028989,0.66,1932588073,37.45,1144475073,22.18,4304,2.24587,1.357,1025,0,133365,133366,2.25268,40046000,2.73,1466281887,2847,35908547,30269405,2.19,1383305385,246839,11283624,15.88,71066672,19037475,17008735,668693554,741960,0.05,1534306971,293711,0.02,1312104107,0.155,0.522,0.01,4.060645161290323
0,1,8,614445991,14892533,12329909,16.311,75593628,4850082826,3292294173,0.68,1850354926,38.15,982339824,20.25,4352,2.1147600000000004,1.306,952,0,133039,133040,2.12123,36778732,2.45,1504181529,3040,37358020,33528286,2.63,1275886516,331665,13507100,16.08,84008029,22803541,18293363,508028099,803951,0.06,1385314688,274752,0.02,1269875981,0.13,0.511,0.005,4.841538461538462
0,1,9,844962845,17220489,15242518,16.477,92509518,5837592177,3660338924,0.63,2114793404,36.23,1266926855,21.7,5527,2.5825500000000003,1.565,976,0,133567,133568,2.58919,37321025,2.18,1713838841,7139,34442371,32720302,1.9,1718337924,250047,11676398,15.57,75016548,18370723,16314187,928214069,738926,0.04,1859147077,300549,0.02,1637020776,0.138,0.52,0.012,4.560869565217391
0,1,10,594232063,16826415,13008816,15.381,84574596,4974187255,3468064866,0.7,1988457913,39.98,995816046,20.02,4281,2.16293,1.329,938,0,133393,133394,2.16933,37526935,2.5,1499448173,4009,36384189,34618259,2.79,1240526365,357398,15116505,18.51,81654161,20760141,16162598,651442367,707211,0.05,1507471685,255503,0.02,1283766818,0.13,0.514,0.014,4.841538461538462
0,1,11,518782767,15661135,13462622,17.916,75141320,4878570311,3103245669,0.64,1691491268,34.67,1040452163,21.33,4335,2.1390100000000003,1.322,903,0,133526,133527,2.14563,35914639,2.43,1478334960,4257,36527697,33131929,2.6,1273727129,267124,11162379,14.24,78372259,22587472,17513212,567028574,967021,0.07,1394350583,321437,0.03,1168759242,0.125,0.518,0.009,5.035200000000001
0,1,12,579087015,17593611,14512056,17.261,84076331,5421454513,3526987597,0.65,1577172260,29.09,864042781,15.94,6159,2.39141,1.475,960,0,133266,133267,2.39785,29544837,1.7,1734488128,6151,34807570,32992947,2.18,1513345320,296478,13484363,16.31,82697770,21280621,18559085,661316158,1029344,0.07,1556893018,363907,0.03,1332100242,0.121,0.519,0.009,5.2016528925619845
0,1,13,619728105,15676744,11552467,16.093,71786749,5063442651,3467652033,0.68,1776029278,35.08,929938263,18.37,4838,2.2436700000000003,1.393,879,0,133480,133482,2.24991,33998274,2.12,1601994970,4845,38218832,35850057,2.69,1332945694,331454,12730028,14.51,87714954,20775629,17974769,574515743,987619,0.07,1409659798,324861,0.03,1281842474,0.117,0.519,0.008,5.37948717948718
0,1,14,838901785,16754335,13212500,15.758,83844199,5466593348,3642188439,0.67,1926773879,35.25,1106716015,20.25,4503,2.39108,1.479,909,0,133654,133655,2.39741,38735824,2.36,1639251015,4616,42370778,36597602,2.73,1339707391,294304,13821934,17.52,78913001,19131942,15184164,791208964,682690,0.04,1725732848,273889,0.02,1608954207,0.114,0.516,0.01,5.521052631578947
0,1,15,614442898,15340807,12187225,15.572,78263099,5282696212,3493487074,0.66,1616885408,30.61,954487340,18.07,4771,2.34541,1.452,943,0,133377,133378,2.35183,32464200,1.9,1708879134,5420,35130011,34089207,2.29,1489477138,312025,13532408,15.88,85239933,24051123,17558746,589078481,1001076,0.07,1512194036,282991,0.02,1293551509,0.11,0.517,0.009,5.721818181818183
0,1,16,524207367,15169238,13154525,17.155,76681819,4931415746,3170137303,0.64,1536610390,31.16,1045825395,21.21,4441,2.17198,1.35,902,0,133412,133413,2.17836,34693387,2.3,1505588089,5255,40399910,34219527,2.59,1321866942,305194,13585258,16.27,83477915,22415590,17198234,544786927,929067,0.07,1394585106,267341,0.02,1172720052,0.109,0.51,0.017,5.774311926605505
