cache-misses,time,branch-load-misses,dTLB-load-misses,cpu-cycles,L1-icache-load-misses,s
22590502,1.459,57022854,2700213,15661344989,62393390,0.68
21870502,1.205,60132187,3187052,16119732853,68714297,0.68
18539473,0.877,55642810,2076134,13064079808,61208556,0.68
25607263,1.007,61850905,2943324,15491617861,65168149,0.68
40600581,14.879,289447004,2536078,46268560494,115019787,3.6
39821534,7.638,284760148,2074853,41826303829,97469401,3.6
38141140,5.536,286679406,1752935,40454679630,92651933,3.6
40093511,5.329,287240479,2777847,43119181038,110216445,3.6
39516343,8.085,283285300,2799067,45378074053,113404580,3.6
44147584,4.814,287898940,2606007,43586439430,109863824,3.6
44131763,4.57,294325934,3759596,47114875061,123341497,3.6
49994663,4.052,304850988,4125307,49992645299,134018100,3.6
49117545,6.013,299287985,4152537,50156551925,144993950,3.6
50641386,5.04,309334468,6182180,56629711404,153403300,3.6
48698919,3.971,297588122,4990191,50698508002,144336938,3.6
54959316,4.508,306405019,7219092,58416030920,165425835,3.6
61782541,6.521,312204607,8719720,67277329036,199455812,3.6
61591128,5.283,323470065,9601272,72986370344,205040561,3.6
52955555,3.783,305433023,7217669,55490560892,150052851,3.6
58350418,4.336,317237746,8544019,64176284098,175236311,3.6
13643303,0.52,29172755,914004,5449249490,33288962,0.07
12803459,0.308,30992604,892352,5749731366,34554335,0.07
16105073,0.26,31824603,1060580,5837885158,30797637,0.07
12667807,0.208,31442235,972910,5755896500,33106392,0.07
13466573,0.237,32184015,914275,5577230211,34260690,0.07
13472179,0.18,35114715,898964,5811578130,33381351,0.07
15696520,0.176,27073219,1059204,6508439656,31076329,0.07
13277265,0.208,30874488,924896,6312207410,32931033,0.07
13962276,0.183,28474140,787598,5819173808,32607573,0.07
14404869,0.216,30083586,777073,5672151934,36533643,0.07
12734770,0.186,29198474,863635,6122819124,38578872,0.07
15908772,0.221,26912751,872295,5686001446,35024609,0.07
13634187,0.258,33248936,912365,5957431756,34225624,0.07
14894560,0.208,30551337,925392,5744691057,30712313,0.07
14916254,0.183,26459923,789034,6112572992,34052477,0.07
13477187,0.222,28790957,1018361,5563529566,36222623,0.07
21793923,1.483,62218593,1020624,11514411670,29475635,0.19
21471636,0.79,62821782,1094378,10361624389,37528405,0.19
18387514,0.61,63914060,1183173,10771241246,34700049,0.19
20796801,0.526,59588235,1175945,10762795861,37847729,0.19
20109907,0.455,62133768,1127865,12173758319,33225558,0.19
21155807,0.432,65308825,1183656,11175669631,41134890,0.19
19357799,0.445,63833006,1142602,10692089941,33324793,0.19
20180798,0.462,66146218,1169955,10688461833,35481920,0.19
20202661,0.481,63944706,1458316,11298394490,39384825,0.19
22326655,0.486,66180027,1325995,11852545415,33742102,0.19
20172866,0.455,58035844,1162324,10762287946,35796531,0.19
19883511,0.473,59843888,1212862,10759975980,35060651,0.19
20282197,0.468,62238401,1149248,11010748890,34562493,0.19
20916145,0.397,63635105,1186396,10982969026,30754604,0.19
21841016,0.411,64298440,1004006,10721130332,31109816,0.19
