L1-icache-load-misses-percent,iTLB-load-misses-percent,L1-icache-loads,cpu-clock,instructions,iTLB-loads,cpu-cycles,dTLB-loads,L1-dcache-loads,user-time,task-clock,input-size
2.4,0.01,2490390397,4.18,4427792421,2423238492,9626210508,2296329855,2128343123,2.08,4.19,0
1.44,0.01,2799037850,4.58,5066942251,2840490907,10338620102,2729216664,2633127831,1.94,4.58,0
3.39,0.01,2154495710,3.88,3737853254,2053626689,8979153571,1912232469,1950709216,2.16,3.88,0
1.77,0.01,2461339810,4.19,4500700067,2453141111,9488467933,2232071364,2279374714,2.05,4.2,0
2.13,0.01,2157031734,3.8,3668217178,2063448545,8722337304,1895606684,1941569098,2.07,3.81,0
2.11,0.01,2014029598,3.79,3894941326,2130257090,8775661062,2104416027,1934890346,2.0,3.8,0
1.59,0.01,2915539657,4.6,5117590175,2656927602,10437126896,2465598632,2677102643,2.05,4.6,0
3.25,0.01,2164793350,4.0,3779456723,2068571756,9184695748,1909254077,2081155130,2.24,4.01,0
1.49,0.01,3751237442,7.4,6956726185,3803358162,17172068892,3387178184,3587000139,5.1,7.4,1
1.87,0.01,3897233172,7.86,7135826599,3813674883,18255377506,3616870265,3735725046,5.27,7.87,1
1.4,0.01,3606171967,7.15,6505380589,3485845066,16633623711,3240192242,3509777910,5.02,7.16,1
1.72,0.01,3471232224,7.27,6192314917,3401114539,16849072684,3093024229,3327035393,5.35,7.27,1
1.66,0.01,3750688630,7.31,6535458468,3652664879,17003225668,3495250388,3385441189,5.08,7.32,1
2.4,0.01,3341117847,7.47,6240260021,3335499266,17437281850,2997921443,3195590897,5.6,7.48,1
1.48,0.01,3298346479,6.88,6144626686,3603485795,16036760285,3145837443,3093748884,5.0,6.88,1
1.32,0.01,3915866213,7.63,7098533024,3873320833,17669649588,3534291499,3667357209,5.13,7.64,1
3.34,0.01,3442225363,7.37,6160485545,3655653828,17134200929,3135701674,3097853973,5.48,7.37,1
